@RELATION "B3 - BEEF3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,104.4178,8.838,1.3653,0.0846,16.1336,101.7405,8.6113,1.3303,0.0846,15.7199,105.0872,8.8946,1.374,0.0846,16.237,104.9533,8.8833,1.3723,0.0846,16.2163,105.7565,8.9513,1.3828,0.0846,16.3404,106.5597,9.0193,1.3933,0.0846,16.4646,7.96,1
106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,104.4178,8.838,1.3653,0.0846,16.1336,101.7405,8.6113,1.3303,0.0846,15.7199,105.0872,8.8946,1.374,0.0846,16.237,104.9533,8.8833,1.3723,0.0846,16.2163,106.4259,9.0079,1.3915,0.0846,16.4439,7.95,1
106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,104.4178,8.838,1.3653,0.0846,16.1336,101.7405,8.6113,1.3303,0.0846,15.7199,105.0872,8.8946,1.374,0.0846,16.237,108.4339,9.1779,1.4178,0.0846,16.7541,8.1,1
108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,104.4178,8.838,1.3653,0.0846,16.1336,101.7405,8.6113,1.3303,0.0846,15.7199,109.1032,9.2345,1.4265,0.0846,16.8575,8.15,1
109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,104.4178,8.838,1.3653,0.0846,16.1336,115.7967,9.8011,1.514,0.0846,17.8918,8.65,1
115.7967,9.8011,1.514,0.0846,17.8918,109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,108.1662,9.1552,1.4143,0.0846,16.7128,113.1193,9.5745,1.479,0.0846,17.4781,8.45,1
113.1193,9.5745,1.479,0.0846,17.4781,115.7967,9.8011,1.514,0.0846,17.8918,109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,108.1662,9.1552,1.4143,0.0846,16.7128,112.9855,9.5631,1.4773,0.0846,17.4574,8.44,1
112.9855,9.5631,1.4773,0.0846,17.4574,113.1193,9.5745,1.479,0.0846,17.4781,115.7967,9.8011,1.514,0.0846,17.8918,109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,105.4888,8.9286,1.3793,0.0846,16.2991,115.1274,9.7444,1.5053,0.0846,17.7883,8.6,1
115.1274,9.7444,1.5053,0.0846,17.7883,112.9855,9.5631,1.4773,0.0846,17.4574,113.1193,9.5745,1.479,0.0846,17.4781,115.7967,9.8011,1.514,0.0846,17.8918,109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,105.0872,8.8946,1.374,0.0846,16.237,115.6628,9.7897,1.5123,0.0846,17.8711,8.64,1
115.6628,9.7897,1.5123,0.0846,17.8711,115.1274,9.7444,1.5053,0.0846,17.7883,112.9855,9.5631,1.4773,0.0846,17.4574,113.1193,9.5745,1.479,0.0846,17.4781,115.7967,9.8011,1.514,0.0846,17.8918,109.1032,9.2345,1.4265,0.0846,16.8575,108.4339,9.1779,1.4178,0.0846,16.7541,106.4259,9.0079,1.3915,0.0846,16.4439,106.5597,9.0193,1.3933,0.0846,16.4646,104.8194,8.872,1.3705,0.0846,16.1957,112.3161,9.5065,1.4685,0.0846,17.354,8.39,1
