@RELATION "B3 - ITUB4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,13.8693,2.1039,63.2202,0.1517,14.1116,16.8203,0
13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,13.8806,2.1056,63.2716,0.1517,14.123,16.834,0
13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,13.5164,2.0503,61.6115,0.1517,13.7525,16.3923,0
13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,13.3775,2.0293,60.9783,0.1517,13.6111,16.2238,0
13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,13.1147,1.9894,59.7803,0.1517,13.3437,15.9051,0
13.1147,1.9894,59.7803,0.1517,13.3437,13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,13.2536,2.0105,60.4135,0.1517,13.4851,16.0736,0
13.2536,2.0105,60.4135,0.1517,13.4851,13.1147,1.9894,59.7803,0.1517,13.3437,13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,13.0471,1.9792,59.4722,0.1517,13.275,15.8231,0
13.0471,1.9792,59.4722,0.1517,13.275,13.2536,2.0105,60.4135,0.1517,13.4851,13.1147,1.9894,59.7803,0.1517,13.3437,13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,12.6453,1.9182,57.641,0.1517,12.8662,15.3359,0
12.6453,1.9182,57.641,0.1517,12.8662,13.0471,1.9792,59.4722,0.1517,13.275,13.2536,2.0105,60.4135,0.1517,13.4851,13.1147,1.9894,59.7803,0.1517,13.3437,13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,13.7604,2.0874,62.7239,0.1517,14.0008,12.39,1.8795,56.4772,0.1517,12.6065,15.0263,0
12.39,1.8795,56.4772,0.1517,12.6065,12.6453,1.9182,57.641,0.1517,12.8662,13.0471,1.9792,59.4722,0.1517,13.275,13.2536,2.0105,60.4135,0.1517,13.4851,13.1147,1.9894,59.7803,0.1517,13.3437,13.3775,2.0293,60.9783,0.1517,13.6111,13.5164,2.0503,61.6115,0.1517,13.7525,13.8806,2.1056,63.2716,0.1517,14.123,13.8693,2.1039,63.2202,0.1517,14.1116,13.629,2.0674,62.1249,0.1517,13.8671,12.2023,1.851,55.6215,0.1517,12.4154,14.7986,0
